NID,STID,MIN_10,Hour_1,Hour_3,Hour_6,Hour_12,Hour_24,RST_DATE,Elev,Stationnam,latitude,longtitude,altitude,geometry
46290641,C0T9F0,0.0,0.0,17.0,26.5,37.0,61.5,2025-09-22 23:50:00,251.0,水璉,23.79713,121.54251,251.0,POINT (121.54251 23.79713)
46467465,C0T9F0,0.0,5.5,29.5,30.5,54.5,146.5,2025-09-23 23:50:00,251.0,水璉,23.79713,121.54251,251.0,POINT (121.54251 23.79713)
46112106,C0T9G0,0.0,1.0,1.0,1.0,1.0,1.0,2025-09-21 23:50:00,605.0,鳳林山,23.73527,121.42013,605.0,POINT (121.42013 23.73527)
46290642,C0T9G0,3.5,4.0,12.5,37.5,52.5,98.5,2025-09-22 23:50:00,605.0,鳳林山,23.73527,121.42013,605.0,POINT (121.42013 23.73527)
46467466,C0T9G0,9.0,14.5,53.0,102.0,181.0,309.0,2025-09-23 23:50:00,605.0,鳳林山,23.73527,121.42013,605.0,POINT (121.42013 23.73527)
46112107,C0T9H0,3.0,3.5,3.5,3.5,4.0,4.0,2025-09-21 23:50:00,725.0,加路蘭山,23.682947,121.5274,725.0,POINT (121.5274 23.682947)
46290643,C0T9H0,0.0,0.0,5.5,16.5,27.0,52.5,2025-09-22 23:50:00,725.0,加路蘭山,23.682947,121.5274,725.0,POINT (121.5274 23.682947)
46467467,C0T9H0,5.5,11.5,39.0,67.5,114.0,163.0,2025-09-23 23:50:00,725.0,加路蘭山,23.682947,121.5274,725.0,POINT (121.5274 23.682947)
46112108,C0T9I0,0.0,2.0,2.0,2.0,2.0,2.0,2025-09-21 23:50:00,152.0,豐濱,23.583897,121.51481,152.0,POINT (121.51481 23.583897)
46290644,C0T9I0,1.0,1.5,11.5,30.5,49.0,63.0,2025-09-22 23:50:00,152.0,豐濱,23.583897,121.51481,152.0,POINT (121.51481 23.583897)
46467468,C0T9I0,2.5,11.0,19.0,69.5,95.0,197.0,2025-09-23 23:50:00,152.0,豐濱,23.583897,121.51481,152.0,POINT (121.51481 23.583897)
46112109,C0T9M0,0.0,6.0,8.5,8.5,9.5,9.5,2025-09-21 23:50:00,92.0,靜浦,23.455168,121.495026,92.0,POINT (121.495026 23.455168)
46290645,C0T9M0,5.5,5.5,17.5,34.0,40.0,50.5,2025-09-22 23:50:00,92.0,靜浦,23.455168,121.495026,92.0,POINT (121.495026 23.455168)
46467469,C0T9M0,0.0,4.0,17.0,43.5,48.0,75.5,2025-09-23 23:50:00,92.0,靜浦,23.455168,121.495026,92.0,POINT (121.495026 23.455168)
46112110,C0T9N0,0.0,0.5,0.5,0.5,0.5,0.5,2025-09-21 23:50:00,261.0,富里,23.171638,121.249374,261.0,POINT (121.249374 23.171638)
46290646,C0T9N0,1.5,19.0,51.0,71.0,140.5,151.0,2025-09-22 23:50:00,261.0,富里,23.171638,121.249374,261.0,POINT (121.249374 23.171638)
46467470,C0T9N0,1.0,16.5,60.5,118.0,211.0,407.0,2025-09-23 23:50:00,261.0,富里,23.171638,121.249374,261.0,POINT (121.249374 23.171638)
46112097,C0T820,0.5,0.5,1.5,1.5,8.5,8.5,2025-09-21 23:50:00,550.0,天祥,24.179598,121.495636,550.0,POINT (121.495636 24.179598)
46290633,C0T820,1.5,19.5,59.5,134.0,149.5,202.0,2025-09-22 23:50:00,550.0,天祥,24.179598,121.495636,550.0,POINT (121.495636 24.179598)
